Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions)
359,Shanxi Coking Coal Group,China,214769,431,41662,0.248,355,-,75193
360,Xiaomi,China,32543,266,41631,-0.182,368,-0.877,39655
361,Nucor,U.S.,31400,389,41513,0.138,7607,0.114,32479
362,Continental,Germany,199038,312,41449,-0.082,70,-0.959,40468
363,New Hope Holding Group,China,123933,356,41426,0.058,8,-0.977,49488
364,Kuehne + Nagel International,Switzerland,75194,396,41278,0.15,2770,0.246,15951
365,Enbridge,Canada,12050,375,40964,0.091,2308,-0.533,132581
366,TIAA,U.S.,16070,347,40911,0.009,494,-0.878,634457
367,RWE,Germany,18278,495,40352,0.392,2858,2.352,147831
368,China Electronics,China,184940,324,40326,-0.065,-501,-,61129
369,Massachusetts Mutual Life Insurance,U.S.,10662,395,40281,0.122,1485,3.65,381336
370,L'Oréal,France,87369,367,40241,0.054,6002,0.104,49983
371,LG Chem,South Korea,40000,369,40241,0.064,1430,-0.554,54035
372,Hyundai Mobis,South Korea,33125,390,40210,0.103,1925,-0.063,44045
373,Zijin Mining Group,China,48836,407,40187,0.152,2979,0.226,44372
